case_url,source_case_id,final_url,retrieval_status,html_bytes,html_sha256,page_title,error
https://www.geipan.fr/fr/cas/1954-10-09243,1954-10-09243,https://www.geipan.fr/fr/cas/1954-10-09243,DOWNLOADED,19372,66d44a7f08423f828cc152d6591e7adf7ab0c135ba8f818e98d1122a64087336,MAILLY-LE-CAMP (10) 27.10.1954 | GEIPAN Orange arrow icon Orange arrow icon Orange arrow icon Arrow,
https://www.geipan.fr/fr/cas/1954-10-09244,1954-10-09244,https://www.geipan.fr/fr/cas/1954-10-09244,DOWNLOADED,20197,8c4a717ec0611de7584fb311196d2e4d5af0bd98aea4aa37c0625b0823c6a594,OYE-PLAGE (62) 27.10.1954 | GEIPAN Orange arrow icon Orange arrow icon Orange arrow icon Arrow,
https://www.geipan.fr/fr/cas/1954-11-00030,1954-11-00030,https://www.geipan.fr/fr/cas/1954-11-00030,DOWNLOADED,19360,da73af5829305b500233ba8b15db3b46c8b402b5714790b09704aeaa020b1854,TEMARA (MA.01) 20.11.1954 | GEIPAN Orange arrow icon Orange arrow icon Orange arrow icon Arrow,
https://www.geipan.fr/fr/cas/1955-01-00033,1955-01-00033,https://www.geipan.fr/fr/cas/1955-01-00033,DOWNLOADED,18995,9fc40c346a3344e03b311827f2b8b4df7c9a84a667b0820fb13e7589eba766bf,SAINT-SIMON (02) 19.01.1955 | GEIPAN Orange arrow icon Orange arrow icon Orange arrow icon Arrow,
https://www.geipan.fr/fr/cas/1955-01-01950,1955-01-01950,https://www.geipan.fr/fr/cas/1955-01-01950,DOWNLOADED,18987,596f8bd78befed0a0b7dafa8d455dc1da7c3a2d31dbeaf7aba49a32598a38b10,REMIREMONT (88) --.--.1955 | GEIPAN Orange arrow icon Orange arrow icon Orange arrow icon Arrow,
https://www.geipan.fr/fr/cas/1955-05-00034,1955-05-00034,https://www.geipan.fr/fr/cas/1955-05-00034,DOWNLOADED,18679,9c1e627efef78e9f549df46dceb5feb48a853200d5feda5833e3e73926986df7,GIVET (08) 20.05.1955 | GEIPAN Orange arrow icon Orange arrow icon Orange arrow icon Arrow,
https://www.geipan.fr/fr/cas/1955-06-00035,1955-06-00035,https://www.geipan.fr/fr/cas/1955-06-00035,DOWNLOADED,18647,e2e8ddad6619403f9eed229bca47e5f3607f36855a64d27144a99285e9c75489,CAVAILLON (84) 05.06.1955 | GEIPAN Orange arrow icon Orange arrow icon Orange arrow icon Arrow,
https://www.geipan.fr/fr/cas/1956-04-00036,1956-04-00036,https://www.geipan.fr/fr/cas/1956-04-00036,DOWNLOADED,21528,3e97d90821e96bffadaff8b2f0483867ed003bb23206722c5b53297f53641324,(DPT) SEINE-MARITIME (76) 08.04.1956 | GEIPAN Orange arrow icon Orange arrow icon Orange arrow icon Arrow,
https://www.geipan.fr/fr/cas/1956-09-09134,1956-09-09134,https://www.geipan.fr/fr/cas/1956-09-09134,DOWNLOADED,19704,60dfdd7dc4cf3095b3d2228750619644f097c12e58ab295191139029ee4fdbb9,[AERO MIL] BRIOUDE (43) 20.09.1956 | GEIPAN Orange arrow icon Orange arrow icon Orange arrow icon Arrow,
https://www.geipan.fr/fr/cas/1956-11-00037,1956-11-00037,https://www.geipan.fr/fr/cas/1956-11-00037,DOWNLOADED,18649,60b1e6bb91a7bc3f233345e0f83ced5e2f18c25f830360ab33ad22b4ef7caf6e,PARIS (75) 15.11.1956 | GEIPAN Orange arrow icon Orange arrow icon Orange arrow icon Arrow,
https://www.geipan.fr/fr/cas/1957-01-00038,1957-01-00038,https://www.geipan.fr/fr/cas/1957-01-00038,DOWNLOADED,18474,fb9755fdee3075a296ef2c61766558a59616049ad646103e776a2df5e9f824c0,HADJOUT (DZ.42) 03.01.1957 | GEIPAN Orange arrow icon Orange arrow icon Orange arrow icon Arrow,
https://www.geipan.fr/fr/cas/1957-10-00040,1957-10-00040,https://www.geipan.fr/fr/cas/1957-10-00040,DOWNLOADED,21143,a78ac1e4b0c5ffdc82adfd80ed49ff00b8e853b337a1bff6ca173c5c011d65a7,(DPT) ARDENNES (08) 30.10.1957 | GEIPAN Orange arrow icon Orange arrow icon Orange arrow icon Arrow,
https://www.geipan.fr/fr/cas/1957-12-00041,1957-12-00041,https://www.geipan.fr/fr/cas/1957-12-00041,DOWNLOADED,19115,d1c1087642b5ce23841f78b2408ef73463d62d92986f2ed4ebe179f1e326c2c5,[AERO CTL] COGNAC (16) 17.12.1957 | GEIPAN Orange arrow icon Orange arrow icon Orange arrow icon Arrow,
https://www.geipan.fr/fr/cas/1959-03-00042,1959-03-00042,https://www.geipan.fr/fr/cas/1959-03-00042,DOWNLOADED,18792,cc11047602774d5b4d9015c7c67a9ccf38ceb336fb3cc74f3fd21ef478431a21,TOMBOUCTOU (ML.06) 20.03.1953 | GEIPAN Orange arrow icon Orange arrow icon Orange arrow icon Arrow,
https://www.geipan.fr/fr/cas/1959-09-00043,1959-09-00043,https://www.geipan.fr/fr/cas/1959-09-00043,DOWNLOADED,19643,62f6181c5e88530f41fb338d2f7d64cdbe4b0b4636202ad37d21002d6c13490f,SALI (DZ.01) 14.09.1959 | GEIPAN Orange arrow icon Orange arrow icon Orange arrow icon Arrow,
https://www.geipan.fr/fr/cas/1959-11-00044,1959-11-00044,https://www.geipan.fr/fr/cas/1959-11-00044,DOWNLOADED,18888,5e916786ec428b5f1c9141bf00d1970a46527c562cae325c3860f66047948f6a,DAKAR (SN.DK) 24.11.1959 | GEIPAN Orange arrow icon Orange arrow icon Orange arrow icon Arrow,
https://www.geipan.fr/fr/cas/1960-04-02014,1960-04-02014,https://www.geipan.fr/fr/cas/1960-04-02014,DOWNLOADED,18603,faf4b176fe97b2064e03ab4783d96a9bc4a7bb89e20c6f90cd66a8a04f39beae,PIERREFORT (15) --.--.1960 | GEIPAN Orange arrow icon Orange arrow icon Orange arrow icon Arrow,
https://www.geipan.fr/fr/cas/1960-07-08172,1960-07-08172,https://www.geipan.fr/fr/cas/1960-07-08172,DOWNLOADED,19677,77c56d778ff8c5b5b016c4f0687c41e70cbbbe47aeacc6adb14cd82513aa8d1f,WISSOUS (91) --.--.1960 | GEIPAN Orange arrow icon Orange arrow icon Orange arrow icon Arrow,
https://www.geipan.fr/fr/cas/1960-08-09109,1960-08-09109,https://www.geipan.fr/fr/cas/1960-08-09109,DOWNLOADED,19666,d22a0870cc9a33c99f8739ba925eb1dc82d0d6095f34430377bab12460a2e280,MORLINCOURT (60) --.08.1960 | GEIPAN Orange arrow icon Orange arrow icon Orange arrow icon Arrow,
https://www.geipan.fr/fr/cas/1960-11-00048,1960-11-00048,https://www.geipan.fr/fr/cas/1960-11-00048,DOWNLOADED,19980,983dc382b376398c165ec637fd57851c9926a404b87483160c482b9d075b6cba,LONDE (LA) (76) 13.11.1960 | GEIPAN Orange arrow icon Orange arrow icon Orange arrow icon Arrow,
https://www.geipan.fr/fr/cas/1963-11-01791,1963-11-01791,https://www.geipan.fr/fr/cas/1963-11-01791,DOWNLOADED,20115,b8c33436871d4989058dc1f61405535861e518299859edc0d139e224bda2796f,PREMESQUES (59) 11.11.1963 | GEIPAN Orange arrow icon Orange arrow icon Orange arrow icon Arrow,
https://www.geipan.fr/fr/cas/1964-03-01780,1964-03-01780,https://www.geipan.fr/fr/cas/1964-03-01780,DOWNLOADED,19712,dff51118445b973f441ea995f77ae0d6e0d39929a763deb961f2d3b67fba819d,BOURGET-DU-LAC (LE) (73) --.02.1964 | GEIPAN Orange arrow icon Orange arrow icon Orange arrow icon Arrow,
https://www.geipan.fr/fr/cas/1965-07-00050,1965-07-00050,https://www.geipan.fr/fr/cas/1965-07-00050,DOWNLOADED,20537,cb1d20cf6e8fd397630da2e5ca851e7b7e58137731d39cab4a93f08e796fd995,VALENSOLE (04) 01.07.1965 | GEIPAN Orange arrow icon Orange arrow icon Orange arrow icon Arrow,
https://www.geipan.fr/fr/cas/1965-07-02381,1965-07-02381,https://www.geipan.fr/fr/cas/1965-07-02381,DOWNLOADED,19617,1a21f6a9b75fe5c4fac9d9ee24381f87f325c8d1a30482afd9ca68f9d8e43aa9,DE MOUSTIERS-SAINTE-MARIE (04) vers MANOSQUE (04) --.07.1965 | GEIPAN Orange arrow icon Orange arrow icon Orange arrow icon Arrow,
https://www.geipan.fr/fr/cas/1965-07-02569,1965-07-02569,https://www.geipan.fr/fr/cas/1965-07-02569,DOWNLOADED,19636,f798c3aca8deae735d72cdd03fc51084e18efcf9d420430e2636afc55c7efc8a,BLOIS (41) 23.07.1965 | GEIPAN Orange arrow icon Orange arrow icon Orange arrow icon Arrow,
https://www.geipan.fr/fr/cas/1965-08-02422,1965-08-02422,https://www.geipan.fr/fr/cas/1965-08-02422,DOWNLOADED,18777,11bc53ba0dab60d9b52f1cefa844a6b794c5e88b4cce6d8fe593aa46dd639867,BEAUVAIS (60) --.08.1965 | GEIPAN Orange arrow icon Orange arrow icon Orange arrow icon Arrow,
https://www.geipan.fr/fr/cas/1967-09-09106,1967-09-09106,https://www.geipan.fr/fr/cas/1967-09-09106,DOWNLOADED,19128,89ad35da0ae334facbfb112b8a312f369e87d69494935352f116e4344413359f,SEILLONS-SOURCE-D'ARGENS (83) --.09.1967 | GEIPAN Orange arrow icon Orange arrow icon Orange arrow icon Arrow,
https://www.geipan.fr/fr/cas/1969-10-02635,1969-10-02635,https://www.geipan.fr/fr/cas/1969-10-02635,DOWNLOADED,20820,5c6eefa340cd3c382a7b9bbdec6e874d9ec49c32ac0d09374cfa0da52c56a717,NANTES (44) 08.10.1969 | GEIPAN Orange arrow icon Orange arrow icon Orange arrow icon Arrow,
https://www.geipan.fr/fr/cas/1970-01-01778,1970-01-01778,https://www.geipan.fr/fr/cas/1970-01-01778,DOWNLOADED,19078,aabe0ec83761d1733522624e84a5863ea6bd3594c13bba82ca4094b4a9b163a5,FORT-DE-FRANCE (972) --.--.1970 | GEIPAN Orange arrow icon Orange arrow icon Orange arrow icon Arrow,
https://www.geipan.fr/fr/cas/1970-01-01784,1970-01-01784,https://www.geipan.fr/fr/cas/1970-01-01784,DOWNLOADED,19381,7b3c008eb15ea5ca9492855d8f1a28f18582f0e5aa83d29e6a78e5e284887fbd,(DPT) LANDES (40) --.07.1970 | GEIPAN Orange arrow icon Orange arrow icon Orange arrow icon Arrow,
https://www.geipan.fr/fr/cas/1971-11-08602,1971-11-08602,https://www.geipan.fr/fr/cas/1971-11-08602,DOWNLOADED,20760,04a24f901e001620e293d815e66e474d4483277126519fa3c292768e233073be,NEUVES-MAISONS (54) 02.11.1971 | GEIPAN Orange arrow icon Orange arrow icon Orange arrow icon Arrow,
